                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.71224,                 2.8663,                 1.1898,                0.00305,                      1,                 0.2881,                0.24632,                0.53174,                 3.0359,                 1.1592,               0.070577,              0.0032692,              0.0032692
                      1,                0.74033,                 2.1386,                 1.1542,                0.40461,                0.61191,                0.51332,                0.44828,                 0.5753,                 2.3136,                 1.1627,               0.039923,              0.0059489,              0.0059489
                      2,                0.72599,                 1.6207,                 1.1274,                0.50614,                 0.8645,                0.86102,                0.73327,                0.62263,                 1.9488,                 1.1744,              0.0086096,              0.0079686,              0.0079686
